country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cambodia,,,,,,,,,,,,,,,,,,,,,1675.2181,1802.7507,1492.7455,1185.5802,1071.9429,1032.1637,1041.1423,915.05951,946.10468,849.43195,826.07367,810.1972,786.57965,792.98901,798.91766,804.31891,810.73853,946.5885,1038.3065,1073.5685,1039.1523,1096.3247,1344.4722,1163.6282,1256.5415,1337.4897,1235.1334,1238.1549,1166.6071,1227.5576,1292.7878,1360.1595,1429.6421,1518.9819,1591.3866,1836.293,1938.2688,2160.249,2380.1101,2231.6292,2330.1272,2507.6851,2663.8665,2971.061,3008.6909,3165.2534,3046.0073,3161.0571
Cameroon,,,,,,,,,,,1423.167,1441.5742,1427.4465,1495.1403,1525.9526,1586.9247,1632.677,1462.0641,1491.8082,1561.2109,1591.054,1568.9993,1603.1221,1624.4872,1596.3202,1606.6323,1487.8579,1645.0723,1996.0172,2024.5585,2186.2273,2396.314,2633.4729,2914.2798,3191.6125,3211.2317,3013.0688,2876.8513,2735.6335,2565.769,2394.866,2234.1882,2159.1484,2195.6423,2061.9551,2219.8906,2296.8486,2338.6821,2390.1868,2428.6079,2459.1069,2452.7817,2466.6558,2550.3511,2548.2844,2577.1487,2593.5706,2647.9922,2716.2834,2645.7085,2684.9727,2788.3823,2878.4819,2951.7104,3015.6135,3044.9385,3108.1067,3149.2612
Canada,11186.318,11304.809,11900.952,12132.623,11717.3,12429.252,13143.953,13025.461,12983.424,13189.26,13360.911,13637.749,14248.734,14726.369,15471.963,16148.74,16913.473,17083.125,17728.109,18394.381,18652.73,19353.227,20102.004,21241.814,21522.896,21484.537,22456.162,22979.443,23665.244,24374.824,24621.662,25196.305,24306.533,24911.695,26425.834,26791.973,26941.854,28494.688,29517.678,30192.205,30000.512,28821.074,28748.088,29087.459,30167.396,31342.617,31819.074,32788.734,32944.949,34993.945,36909.566,36219.035,36101.641,37581.129,38872.758,41399.672,41216.043,41641.555,42891.664,38127.172,40269.031,42131.664,42477.102,43388.406,45044.281,42232.328,42062.379,42906.633
Cape Verde,,,,,,,,,,,1118.381,1301.4117,1068.5264,857.76459,896.09851,914.30835,1108.9882,1196.5786,1291.2596,1375.8201,1513.6119,1576.8334,1608.8302,1639.7355,1684.4827,1398.0033,1417.1156,1340.8727,1454.0906,1502.442,1606.4749,1698.0984,1783.5308,1878.5186,1758.9215,1761.4092,1966.2469,2026.3623,2038.7291,2152.0144,2064.9509,2031.6372,2169.6028,2238.6992,2567.509,2298.0806,2720.467,2584.8979,2845.2427,3265.5432,3480.8149,3572.5127,3647.7458,3776.5762,4024.9746,4064.228,4226.3296,4781.1055,5221.4521,5297.9453,5644.8213,6108.7344,6244.7134,6133.9595,6127.4517,6256.1528,6464.2524,6968.6436
Cayman Islands,,,,,,,,,,,,,,,,,,,,,26464.172,26056.893,26625.105,28612.48,29503.252,30437.984,31449.527,32513.832,33730.461,35286.086,36895.605,39092.453,41544.441,45549.426,47989.695,36832.668,39871.809,45134.766,47264.172,49506.223,61084.324,56360.688,50532.25,55045.336,48041.613,47930.414,45178.449,48215.895,50428.457,46661.496,49884.336,46451.754,42331.961,47278.328,42742.973,50718.895,55194.148,55879.531,52149.664,41086.73,36670.68,38303.047,34905.082,35576.992,36702.625,37291.426,29509.805,29804.459
Central African Republic,,,,,,,,,,,1398.4736,1487.1711,1456.6016,1345.119,1378.7678,1357.1343,1307.7888,1261.214,1407.7284,1385.3645,1412.9711,1333.9608,1253.9503,1373.5256,1210.2065,1166.9469,1137.3145,1169.641,1168.9724,1117.5219,999.08051,1133.6516,1109.2924,1019.6212,1067.6095,1160.3674,1121.0449,1022.4038,1053.8699,1091.6573,1052.4973,1010.6668,945.17694,900.89117,1068.2057,1072.0505,887.93512,911.2287,936.97314,906.74799,916.26086,910.73553,894.51782,837.01532,845.27539,848.20428,853.72321,872.12781,864.44159,840.18213,865.4422,920.08301,954.38025,606.86694,614.09656,690.02197,719.82153,727.28943
Chad,,,,,,,,,,,1314.3821,1353.9384,1524.3359,1352.2539,1339.4064,1371.2365,1287.7813,1220.7581,1190.5154,1192.0914,1278.3528,1279.5337,1135.6395,1053.0278,1193.8861,1352.6967,1251.8844,1164.373,1178.658,917.33301,833.5415,737.55542,775.53625,980.54425,1041.2704,1112.9824,1055.5573,1049.1318,1108.7393,1119.5216,1093.449,1105.0673,1080.9574,1030.9365,1042.0204,1060.4545,977.2265,1049.048,1017.1292,1003.7944,942.30981,991.17432,715.73114,809.95465,1172.662,1430.2772,1482.6421,1589.2987,1641.5203,1484.9526,1880.3749,1933.2018,1951.8369,1937.3213,1613.4358,1650.5304,1476.6967,1307.972
Chile,,4154.3931,4410.8315,4440.354,4656.603,4463.813,4303.2896,4641.9248,4712.7544,4558.5083,4735.4282,4467.5171,5449.7437,5523.7388,5587.7729,5273.7651,5790.2261,6001.7744,6034.5845,6332.3037,6248.2285,6943.9961,6818.3872,6523.5742,6114.4243,5089.3589,5222.186,5604.8853,5949.1357,6341.5347,6635.0103,6866.8809,5891.8105,5611.6182,5719.5962,5631.5039,5818.896,6163.1851,6651.0615,7155.0117,7207.9087,7653.9438,8443.4229,8870.6631,9526.2002,10772.417,11124.255,11197.618,10931.262,10320.485,10578.541,10409.52,10372.609,10717.513,11827.208,13145.033,15198.137,16322.698,15692.971,15847.612,18092.941,19859.191,21282.502,21730.172,22589.863,22323.102,22724.904,22728.875
China,,,1072.839,1189.8024,1068.9464,1168.6884,1200.0706,1206.443,1160.0708,1059.9395,1014.103,888.36005,963.01813,1044.5938,1151.1427,1236.5098,1246.4169,1258.5437,1190.1298,1273.5773,1394.1576,1455.5267,1436.9675,1507.5938,1529.6709,1567.7021,1506.0852,1548.0342,1719.2517,1786.6135,1824.618,1800.2562,1910.1262,2024.6018,2239.8872,2443.9658,2485.8113,2552.4602,2625.6855,2540.4512,2471.1516,2570.4824,2772.1431,3079.7556,3174.8203,3339.8772,3551.1833,3562.9248,3598.2671,3841.3418,4108.3413,4421.7607,4776.8721,5030.6387,5455.5156,6090.2236,6585.7505,7054.5967,7463.8462,8099.1724,9337.29,10258.423,10645.562,11169.535,11808.159,12009.443,12369.488,13042.646
Colombia,3118.0522,3068.198,3171.8223,3336.925,3541.0166,3560.8621,3528.155,3409.3296,3296.4644,3381.9724,3471.8342,3574.2393,3623.3862,3614.8711,3799.0706,3699.5525,3792.793,3823.2085,3960.2295,4115.2007,4332.9536,4676.3496,5019.9175,5443.5747,5762.0737,5960.6836,6219.3101,6377.3511,6699.4565,6785.752,6953.4307,6836.7808,6708.1187,6524.4316,6510.3501,6368.0142,6629.9556,6558.3623,6642.2241,6654.4365,6750.0737,6649.9761,6836.1377,7180.061,7449.0483,7650.2881,7542.1172,7596.854,7314.479,6817.2119,6924.4829,6861.5767,6848.4663,6997.8921,7239.1855,7632.7505,8287.1094,9031.4521,9738.9277,9802.5332,10636.5,11783.129,12203.271,12490.168,12769.826,12521.387,12593.01,12796.994
Comoros,,,,,,,,,,,1850.3658,1943.733,2293.9954,2430.2078,2692.125,2755.3057,2987.8086,3217.6328,2980.6375,2839.3979,3182.8782,3255.9451,3264.4114,3428.7791,3452.6194,3574.4011,3459.8586,3495.4497,3432.1655,3605.5657,3887.3306,3671.158,3836.5972,3820.9719,4321.9028,4229.3457,4553.1128,4426.9492,4188.3945,3855.502,3692.0183,3424.8386,3523.032,3312.8665,2943.2612,3388.8486,3204.7927,3224.9292,2880.3252,2828.0605,2678.2512,2902.9214,2896.7068,2808.2346,2714.4717,3010.2878,2901.1045,2284.6694,2413.6189,2391.4727,2292.998,2515.9224,2654.4912,2807.9773,2881.4299,2904.1687,2849.5518,2871.0391
